rephrase_group_id,base_family_id,base_parameter,variant_class,variant_count,expected_numeric_identity
CRM-RG-01,T5-04,region=Central,Temporal,3,"all variants share the base pair's reference_sql, expected_answer and result_hash"
CRM-RG-02,T5-01,region=Central,Lexical,3,"all variants share the base pair's reference_sql, expected_answer and result_hash"
CRM-RG-03,T1-01,campaign_type=Awareness,Lexical,3,"all variants share the base pair's reference_sql, expected_answer and result_hash"
CRM-RG-04,T3-01,region=Central,Rephrase,2,"all variants share the base pair's reference_sql, expected_answer and result_hash"
CRM-RG-05,T5-02,category=Access,Lexical,2,"all variants share the base pair's reference_sql, expected_answer and result_hash"
CRM-RG-06,T5-05,customer_tier=Preferred,Temporal,2,"all variants share the base pair's reference_sql, expected_answer and result_hash"
CRM-RG-07,T2-05,is_active=true,Lexical,2,"all variants share the base pair's reference_sql, expected_answer and result_hash"
CRM-RG-08,T3-03,title=Business Analyst,Rephrase,2,"all variants share the base pair's reference_sql, expected_answer and result_hash"
CRM-RG-09,T2-01,region=Central,Rephrase,2,"all variants share the base pair's reference_sql, expected_answer and result_hash"
CRM-RG-10,T2-03,industry=Education,Lexical,2,"all variants share the base pair's reference_sql, expected_answer and result_hash"
CRM-RG-11,T1-03,priority=Critical,Lexical,2,"all variants share the base pair's reference_sql, expected_answer and result_hash"
CRM-RG-12,T2-08,industry=Education,Rephrase,2,"all variants share the base pair's reference_sql, expected_answer and result_hash"
CRM-RG-13,T4-01,region=Central,Rephrase,2,"all variants share the base pair's reference_sql, expected_answer and result_hash"
CRM-RG-14,T5-03,industry=Education,Rephrase,2,"all variants share the base pair's reference_sql, expected_answer and result_hash"
CRM-RG-15,T1-05,engagement_type=EmailOpen,Lexical,2,"all variants share the base pair's reference_sql, expected_answer and result_hash"
CRM-RG-16,T4-04,campaign_type=Awareness,Rephrase,2,"all variants share the base pair's reference_sql, expected_answer and result_hash"
