natural_language_question,expected_answer,reference_sql,reference_tables,reference_fields,judge_reference,derivation_rationale
What is the total budget of Retention campaigns?,25549190.91,"SELECT ROUND(SUM(budget_amount), 2) AS total_budget FROM campaigns WHERE campaign_type = 'Retention';",campaigns,"campaigns.campaign_type, campaigns.budget_amount",The answer should state a single total budget figure for all Retention-type campaigns.,"Filter campaigns to campaign_type = 'Retention', sum budget_amount rounded to 2 decimals. Campaigns with a NULL budget contribute nothing."
How many campaigns are currently active?,1235,SELECT COUNT(*) AS active_campaigns FROM campaigns WHERE status = 'Active';,campaigns,campaigns.status,The answer should state a single count of campaigns whose status is Active.,Filter campaigns to status = 'Active' and count rows.
How many support cases are logged as critical priority?,10139,SELECT COUNT(*) AS critical_cases FROM support_cases WHERE priority = 'Critical';,support_cases,support_cases.priority,The answer should state a single count of support cases at Critical priority.,"Filter support_cases to priority = 'Critical' and count rows, including boundary-date cases."
How many support cases fall under the Billing category?,24152,SELECT COUNT(*) AS billing_cases FROM support_cases WHERE category = 'Billing';,support_cases,support_cases.category,The answer should state a single count of support cases in the Billing category.,Filter support_cases to category = 'Billing' and count rows.
How many interactions are meetings?,28722,SELECT COUNT(*) AS meeting_interactions FROM interactions WHERE engagement_type = 'Meeting';,interactions,interactions.engagement_type,The answer should state a single count of interactions with engagement_type Meeting.,Filter interactions to engagement_type = 'Meeting' and count rows.
How many accounts do we have in the West region?,4841,SELECT COUNT(*) AS west_accounts FROM accounts WHERE region = 'West';,accounts,accounts.region,The answer should state a single count of accounts where region is West.,Filter accounts to region = 'West' and count rows.
How many critical-priority support cases were resolved within their SLA deadline?,2338,SELECT COUNT(*) AS resolved_within_sla FROM support_cases WHERE priority = 'Critical' AND resolved_at IS NOT NULL AND resolved_at <= sla_due_at;,support_cases,"support_cases.priority, support_cases.resolved_at, support_cases.sla_due_at",A single count of Critical-priority support cases whose resolved_at is on or before sla_due_at. Unresolved cases are not counted.,Filter support_cases to priority = 'Critical'. Within SLA = resolved_at IS NOT NULL AND resolved_at <= sla_due_at. Count those rows.
How many support cases belong to West-region accounts?,29049,SELECT COUNT(s.case_id) AS case_count FROM support_cases s INNER JOIN accounts a ON s.account_id = a.account_id WHERE a.region = 'West';,"support_cases, accounts","support_cases.account_id, support_cases.case_id, accounts.account_id, accounts.region",The answer should state a single count of support cases whose owning account is in the West region.,"Join support_cases to accounts on account_id, filter to region = 'West', count case rows."
Which customer tier has the most critical-priority support cases?,Standard | 6229,"SELECT a.customer_tier, COUNT(s.case_id) AS case_count FROM support_cases s INNER JOIN accounts a ON s.account_id = a.account_id WHERE s.priority = 'Critical' GROUP BY a.customer_tier ORDER BY case_count DESC, a.customer_tier ASC LIMIT 1;","support_cases, accounts","support_cases.account_id, support_cases.priority, support_cases.case_id, accounts.account_id, accounts.customer_tier",The answer should name a single customer tier and its count of Critical-priority support cases.,"Join support_cases to accounts on account_id, filter to priority = 'Critical', count cases grouped by customer_tier, sort descending with customer_tier as tie-break, take the top row."
How many contacts do we have across accounts in the technology industry?,6673,SELECT COUNT(c.contact_id) AS contact_count FROM contacts c INNER JOIN accounts a ON c.account_id = a.account_id WHERE a.industry = 'Technology';,"contacts, accounts","contacts.account_id, contacts.contact_id, accounts.account_id, accounts.industry",The answer should state a single count of contacts belonging to accounts in the Technology industry.,"Join contacts to accounts on account_id, filter to industry = 'Technology', count contact rows. Unassigned contacts (NULL account_id) are excluded by the INNER JOIN."
How many interactions are attributed to Retention campaigns?,28005,SELECT COUNT(i.interaction_id) AS interaction_count FROM interactions i INNER JOIN campaigns c ON i.campaign_id = c.campaign_id WHERE c.campaign_type = 'Retention';,"interactions, campaigns","interactions.campaign_id, interactions.interaction_id, campaigns.campaign_id, campaigns.campaign_type",The answer should state a single count of interactions attributed to Retention-type campaigns.,"Join interactions to campaigns on campaign_id, filter to campaign_type = 'Retention', count interaction rows. Organic interactions (NULL campaign_id) are excluded by the INNER JOIN."
